1,1,1
3,1,1
4,1,5
5,1,2
1,2,2
2,2,5
3,2,5
4,2,3
5,2,3
1,3,4
2,3,5
3,3,5
5,3,5
1,4,4
2,4,2
3,4,4
5,4,2
2,5,1
3,5,3
4,5,1
5,5,5
1,6,3
2,6,2
3,6,4
4,6,3
5,6,1
2,7,5
3,7,1
4,7,1
5,7,3
1,8,1
4,8,4
5,8,4
1,9,3
4,9,4
5,9,4
2,10,2
3,10,4
4,10,4
1,11,4
4,11,2
1,12,4
3,12,3
4,12,4
5,12,4
1,13,5
2,13,1
3,13,5
4,13,1
1,14,5
2,14,4
3,14,2
4,14,4
5,14,4
1,15,5
2,15,5
3,15,1
4,15,5
5,15,5
1,16,5
2,16,1
3,16,1
4,16,3
5,16,1
1,17,2
2,17,5
3,17,5
5,17,5
1,18,4
2,18,4
3,18,5
4,18,5
5,18,4
1,19,3
2,19,2
3,19,3
5,19,1
1,20,3
2,20,5
3,20,3
4,20,1
5,20,3
